Locality,Interior_SqFt,Distance_To_Main_Road,Num_Bedrooms,Num_Bathrooms,Total_Rooms,Sale_Condition,Parking_Facility,Building_Type,Utilities_Available,Street_Type,Zoning_Type,Quality_Score_Rooms,Quality_Score_Bathroom,Quality_Score_Bedroom,Quality_Score_Overall,Registration_Fee,Commission,Sale_Price,Sale_Year,Build_Year,Building_Age
Anna Nagar,1754,184,1,1,4,Normal Sale,Yes,Others,NoSeWa,Paved,RH,3,4,3,3,453248,93316,13330820,2008,1978,30
Anna Nagar,1633,154,1,1,4,Family,Yes,Commercial,NoSeWa,Paved,RL,3,4,2,3,752727,328112,19300690,2013,2001,12
Chrompet,914,18,1,1,3,Normal Sale,No,House,NoSeWa,Paved,RM,3,4,2,3,269122,65242,8155200,2010,1978,32
KK Nagar,2457,179,4,2,6,AdjLand,Yes,Others,NoSeWa,Paved,RL,4,5,3,4,486749,194700,13907120,2008,1979,29
T Nagar,1946,135,2,1,5,Family,No,Commercial,NoSeWa,Gravel,RL,3,3,4,4,656929,372260,21897640,2011,2004,7
Adyar,713,39,1,1,2,Normal Sale,No,Others,NoSeWa,Paved,RL,2,4,3,3,237956,69084,7676000,2006,1986,20
Chrompet,1179,162,1,1,3,Ab Normal,Yes,House,NoSeWa,Paved,RL,2,3,2,2,331459,110486,10044200,2014,2010,4
Velachery,1770,138,2,1,4,Partial,No,House,AllPub,Paved,RH,4,3,2,3,264990,170962,8548080,2005,1981,24
Velachery,1833,164,3,2,5,AdjLand,Yes,Commercial,NoSeWa,Paved,RH,2,3,4,3,550942,188894,15741200,2006,1966,40
KK Nagar,2335,19,4,2,6,Normal Sale,No,Others,NoSeWa,Gravel,RH,4,4,3,4,577674,159782,12290940,2008,1996,12
Adyar,1122,32,1,1,3,Ab Normal,No,House,AllPub,Paved,I,4,2,2,2,254941,82481,7498275,2011,1986,25
Anna Nagar,1866,137,2,1,5,Normal Sale,Yes,Others,AllPub,No Access,RL,4,4,2,3,374640,86455,14409230,2014,1994,20
Karapakkam,1635,196,2,2,4,Ab Normal,No,Commercial,NoSeWa,Gravel,C,5,2,2,3,527387,161445,10763000,2011,1967,44
Anna Nagar,1514,6,1,1,4,Family,No,Others,AllPub,No Access,RM,4,3,2,3,349382,192762,12047650,2008,1989,19
Adyar,1242,196,2,2,4,Family,Yes,House,NoSeWa,Gravel,I,3,4,3,3,356382,65649,9378485,2009,1970,39
Anna Nagar,1861,1,2,1,5,Family,Yes,House,NoSeWa,No Access,RH,2,5,4,3,372212,156089,12006850,2010,1980,30
KK Nagar,1650,129,2,1,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,RH,2,4,2,3,556852,271287,14278260,2010,1997,13
Velachery,1802,64,3,2,5,Partial,No,House,AllPub,Gravel,C,2,2,3,2,248668,140912,8288940,2010,1998,12
Velachery,1594,154,2,1,4,Ab Normal,Yes,Others,NoSeWa,Paved,I,3,2,3,3,355147,118382,9865200,2006,1996,10
Adyar,1217,189,2,2,4,Partial,No,Commercial,AllPub,Paved,RL,3,2,3,3,496254,170144,14178675,2009,2004,5
KK Nagar,1926,198,3,2,5,Partial,No,House,NoSeWa,Gravel,RH,2,3,3,3,373918,118080,9839960,2009,2001,8
Karapakkam,1143,49,1,1,3,Ab Normal,Yes,House,NoSeWa,No Access,C,2,3,4,3,232342,63366,5280500,2010,1974,36
Chrompet,1129,124,1,1,3,AdjLand,No,Others,AllPub,Paved,RL,4,2,3,3,239588,82934,9214930,2010,1978,32
Chrompet,937,145,1,1,3,Family,Yes,House,AllPub,Paved,RH,4,4,2,3,214395,123689,8245950,2009,1984,25
Adyar,790,102,1,1,2,AdjLand,No,House,AllPub,Gravel,RH,4,3,2,3,256547,43979,7329900,2006,1966,40
Adyar,1215,199,2,2,4,Normal Sale,No,Commercial,NoSeWa,Gravel,RM,3,2,2,2,543727,90621,15103540,2008,1972,36
Chrompet,976,64,1,1,3,Family,Yes,Commercial,NoSeWa,Paved,RH,4,4,2,3,358311,71662,11943700,2011,1989,22
Adyar,604,156,1,1,2,Ab Normal,Yes,Others,AllPub,No Access,I,2,3,2,2,246580,94838,6322560,2012,1988,24
Velachery,1672,194,2,1,4,Partial,No,Others,AllPub,Gravel,RM,2,2,3,2,414380,163571,10904740,2011,1989,22
KK Nagar,2382,49,4,2,6,Family,No,Commercial,NoSeWa,Gravel,RL,2,4,2,2,582166,418432,18192700,2011,1986,25
KK Nagar,1324,85,1,1,3,Normal Sale,Yes,House,NoSeWa,Paved,RL,4,2,3,3,322657,89627,8962700,2008,1983,25
Karapakkam,1198,51,1,1,3,Family,Yes,Commercial,AllPub,Gravel,RH,2,2,4,3,466356,116589,10599000,2011,1975,36
Karapakkam,1347,41,2,2,4,Family,No,Others,AllPub,Gravel,RL,3,2,3,3,405175,140571,8268875,2012,1981,31
Velachery,1845,45,3,2,5,Partial,Yes,Others,NoSeWa,Gravel,RH,2,4,2,3,376053,170933,11395560,2005,1982,23
Karapakkam,1569,66,2,2,4,AdjLand,No,House,AllPub,Gravel,RH,4,4,2,3,334115,87925,8792500,2010,1998,12
T Nagar,1548,149,1,1,4,Normal Sale,No,Others,AllPub,Gravel,RM,2,4,4,3,529978,79497,13249450,2014,1991,23
Chrompet,1143,105,1,1,3,Normal Sale,Yes,Others,NoSeWa,No Access,RH,5,5,2,4,307087,102362,9305660,2015,2006,9
Chrompet,1127,185,1,1,3,Normal Sale,No,House,NoSeWa,Gravel,RL,2,2,3,2,239151,73585,9198100,2012,1998,14
Karapakkam,585,101,1,1,2,AdjLand,Yes,House,NoSeWa,No Access,A,4,4,2,3,195338,42974,3906750,2010,1995,15
KK Nagar,1823,69,3,2,5,Partial,No,Others,NoSeWa,Gravel,RL,3,4,4,4,376198,85988,10748500,2011,1989,22
KK Nagar,1891,64,3,2,5,Ab Normal,Yes,Commercial,NoSeWa,Paved,RM,2,5,3,3,775789,202380,16864980,2008,1990,18
Velachery,1781,103,2,1,4,Ab Normal,No,House,NoSeWa,Gravel,C,4,4,3,4,310062,166957,7950320,2004,1953,51
KK Nagar,2328,58,4,2,6,Ab Normal,Yes,Commercial,NoSeWa,Gravel,RH,3,4,3,3,913666,466156,18646240,2008,1986,22
Velachery,1958,154,3,2,5,Partial,No,Others,NoSeWa,Gravel,C,4,4,4,4,341704,75934,9491790,2006,1969,37
Karapakkam,977,39,1,1,3,Partial,No,Commercial,NoSeWa,Paved,C,2,2,2,2,354763,149000,7095250,2011,1996,15
Adyar,797,74,1,1,2,AdjLand,Yes,House,AllPub,No Access,RL,4,4,4,4,239253,111651,7975085,2008,1969,39
Chrompet,700,66,1,1,2,Normal Sale,Yes,House,AllPub,No Access,RH,3,3,3,3,223160,104606,6973750,2010,1997,13
Karapakkam,1483,21,2,2,4,AdjLand,Yes,Others,NoSeWa,Gravel,RH,4,4,2,3,351133,190615,10032375,2010,2005,5
Chrompet,843,99,1,1,3,Ab Normal,No,Others,AllPub,Paved,RL,3,2,3,3,250013,125007,7812910,2010,1974,36
Karapakkam,1464,185,2,2,4,Partial,Yes,Others,NoSeWa,Gravel,I,4,4,3,4,431460,134831,8988750,2011,2006,5
Adyar,858,149,1,1,3,Family,Yes,House,NoSeWa,Paved,RM,2,4,4,3,315582,47815,9563095,2008,1995,13
KK Nagar,1927,36,3,2,5,Ab Normal,Yes,Commercial,NoSeWa,Gravel,RM,2,4,3,3,688403,229468,17651360,2009,2001,8
T Nagar,1664,90,1,1,4,Ab Normal,No,Others,NoSeWa,Gravel,RL,2,4,4,3,416258,67138,13427680,2013,1995,18
Adyar,1293,136,2,2,4,AdjLand,No,House,NoSeWa,No Access,RH,3,3,3,3,327754,45521,9104275,2010,2005,5
Anna Nagar,1681,93,1,1,4,Normal Sale,No,Commercial,AllPub,No Access,RL,3,3,2,2,677555,329621,18312300,2007,2002,5
Chrompet,1073,163,1,1,3,AdjLand,Yes,Others,NoSeWa,Paved,RH,4,5,3,4,253785,29283,9760960,2012,1995,17
Chrompet,916,109,1,1,3,Ab Normal,No,House,AllPub,No Access,RL,2,2,3,2,212274,87838,7319800,2008,1992,16
Velachery,1617,18,2,1,4,Ab Normal,No,Commercial,NoSeWa,Gravel,A,4,2,5,3,389353,97338,12167290,2008,1981,27
KK Nagar,2223,39,4,2,6,Normal Sale,No,House,AllPub,Gravel,RL,4,4,4,4,390709,260473,11839680,2008,1994,14
Chrompet,877,21,1,1,3,Partial,Yes,Commercial,NoSeWa,Gravel,RM,2,3,4,3,366588,63205,12640950,2012,1979,33
Karapakkam,802,18,1,1,2,Family,Yes,Commercial,AllPub,No Access,RH,3,4,2,3,266305,187980,7832500,2011,1985,26
KK Nagar,2057,131,3,2,5,Normal Sale,Yes,House,NoSeWa,Paved,RL,2,2,4,3,364673,91168,11396020,2008,1987,21
Anna Nagar,1990,199,2,1,5,Ab Normal,Yes,House,NoSeWa,Paved,RM,3,3,2,2,507533,268694,14927450,2013,2008,5
Karapakkam,975,78,1,1,3,AdjLand,Yes,Commercial,NoSeWa,Paved,A,3,3,4,3,363484,123915,8261000,2010,2002,8
T Nagar,1519,115,1,1,4,Family,Yes,Commercial,NoSeWa,No Access,RM,3,4,4,3,654117,127189,18169910,2007,1969,38
Karapakkam,1537,42,2,2,4,AdjLand,No,Others,AllPub,Paved,RH,3,4,2,3,359860,147215,8178625,2009,1984,25
Karapakkam,1502,164,2,2,4,Ab Normal,Yes,Others,NoSeWa,No Access,C,3,3,2,2,273757,113509,6677000,2010,1969,41
Adyar,1016,24,1,1,3,Ab Normal,No,House,AllPub,No Access,RH,4,4,4,4,246464,91544,7041840,2008,1972,36
T Nagar,1502,64,1,1,4,Normal Sale,No,House,NoSeWa,No Access,RH,2,5,2,3,320743,179239,9433610,2012,1974,38
Karapakkam,1497,170,2,2,4,Family,No,Others,AllPub,No Access,RL,3,4,3,3,269441,146968,8164875,2010,1994,16
Adyar,850,179,1,1,3,Partial,No,House,NoSeWa,Paved,I,5,4,4,4,223553,52601,6575100,2006,1986,20
Anna Nagar,1940,163,2,1,5,Family,No,Others,AllPub,Gravel,RL,2,3,3,3,411770,85194,14198960,2010,1967,43
Karapakkam,1523,79,2,2,4,Ab Normal,Yes,House,AllPub,No Access,I,2,2,3,2,290483,165990,6916250,2012,1983,29
Chrompet,711,94,1,1,2,Ab Normal,Yes,House,AllPub,No Access,RH,3,4,3,3,184282,101673,6354550,2008,1975,33
Velachery,1671,62,2,1,4,AdjLand,No,House,NoSeWa,Paved,A,4,2,4,3,286748,73525,7352510,2007,1984,23
Chrompet,1293,73,2,1,4,Ab Normal,Yes,Commercial,NoSeWa,No Access,RH,3,2,5,3,392498,168214,14017800,2006,1990,16
Karapakkam,1615,106,2,2,4,AdjLand,Yes,Commercial,AllPub,Paved,I,2,4,3,3,565260,294918,12288250,2009,1986,23
Velachery,1526,62,2,1,4,Partial,Yes,Others,AllPub,Gravel,C,4,2,3,3,354564,90914,9091390,2009,1982,27
KK Nagar,2296,170,4,2,6,Family,Yes,Others,AllPub,Gravel,RM,4,3,2,3,487132,343858,14327400,2010,1996,14
Anna Nagar,1600,92,1,1,4,Family,No,House,AllPub,Gravel,RM,5,2,4,3,483649,235624,12401250,2013,1983,30
Karapakkam,1122,115,1,1,3,Family,No,Others,AllPub,Paved,RM,3,3,4,3,304571,140571,7809500,2011,1990,21
Chrompet,821,79,1,1,3,AdjLand,No,Others,NoSeWa,No Access,RH,4,4,4,4,166962,40071,6678470,2010,1972,38
Velachery,1678,19,2,1,4,AdjLand,Yes,Commercial,NoSeWa,Gravel,C,2,3,2,2,563649,303503,14452540,2006,1984,22
Karapakkam,587,171,1,1,2,Partial,Yes,Others,NoSeWa,Gravel,C,2,4,4,3,243701,67407,5185125,2011,1981,30
Adyar,613,74,1,1,2,Normal Sale,No,Others,AllPub,Paved,RH,2,2,4,3,216772,12387,6193485,2010,1971,39
Chrompet,714,92,1,1,2,Ab Normal,Yes,House,NoSeWa,Paved,RL,4,4,4,4,203624,32580,8144950,2010,1997,13
Karapakkam,596,118,1,1,2,Normal Sale,No,Commercial,AllPub,Gravel,C,4,3,4,4,207576,138384,5766000,2009,1990,19
KK Nagar,1804,75,3,2,5,Partial,Yes,Others,NoSeWa,Gravel,RH,2,2,2,2,376211,232366,11065040,2009,2001,8
Karapakkam,1058,111,1,1,3,Normal Sale,Yes,Others,AllPub,Gravel,RL,2,3,4,3,437808,100331,9121000,2010,1999,11
Chrompet,884,104,1,1,3,AdjLand,Yes,House,NoSeWa,Paved,RM,2,4,3,3,261060,67682,9668900,2013,1999,14
KK Nagar,2321,18,4,2,6,Normal Sale,No,House,AllPub,Gravel,RH,3,3,3,3,440358,112912,11291220,2008,1987,21
Karapakkam,1603,70,2,2,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,RM,2,4,3,3,605333,281550,14077500,2009,2003,6
Adyar,715,131,1,1,2,Normal Sale,Yes,Commercial,AllPub,Paved,RH,2,3,3,3,348864,95145,10571650,2007,1997,10
Karapakkam,1397,118,2,2,4,Partial,Yes,Commercial,NoSeWa,Paved,C,4,4,4,4,444960,177984,9888000,2011,1963,48
Anna Nagar,1604,188,1,1,4,Partial,Yes,Others,NoSeWa,Paved,RL,2,3,4,3,389564,246724,12985460,2012,1985,27
KK Nagar,1533,195,2,1,4,Normal Sale,No,Commercial,NoSeWa,Paved,RL,2,2,2,2,513771,231197,12844280,2010,1986,24
Anna Nagar,1744,159,1,1,4,Family,Yes,House,AllPub,Gravel,RM,2,2,2,2,511785,138320,13832030,2009,1995,14
Chrompet,1097,132,1,1,3,Partial,No,House,AllPub,Gravel,RL,4,2,2,2,228595,35168,8792100,2006,1984,22
Chrompet,748,93,1,1,2,AdjLand,No,Commercial,AllPub,Gravel,RL,4,4,2,4,311090,139454,10727250,2009,1978,31
Adyar,847,191,1,1,3,Partial,No,House,AllPub,No Access,C,2,2,4,3,157627,15763,5254245,2007,1984,23
T Nagar,1535,50,1,1,4,AdjLand,No,Commercial,AllPub,Gravel,RH,2,3,2,2,581244,108983,18163890,2008,1996,12
Karapakkam,1558,200,2,2,4,AdjLand,No,House,AllPub,Paved,I,4,4,3,3,239624,77525,7047750,2012,1967,45
Velachery,1696,63,2,1,4,Ab Normal,No,Others,AllPub,Paved,RH,3,2,3,2,303203,142127,9475100,2011,1996,15
Anna Nagar,1868,157,2,1,5,Partial,Yes,Others,AllPub,No Access,RH,4,3,2,3,367011,131075,13107540,2012,1992,20
Karapakkam,591,8,1,1,2,Partial,No,Others,AllPub,Gravel,RH,2,4,3,3,175976,146647,5865875,2010,2001,9
Anna Nagar,1539,39,1,1,4,Ab Normal,No,Others,NoSeWa,No Access,RH,3,4,4,4,372621,164392,10959440,2008,1992,16
Anna Nagar,1594,18,1,1,4,Ab Normal,Yes,House,NoSeWa,Gravel,RM,2,3,2,3,490900,167940,12918430,2013,1969,44
Chrompet,1074,140,1,1,3,Ab Normal,Yes,Commercial,AllPub,Paved,RM,3,4,2,3,435516,168587,14048900,2006,1976,30
Chrompet,736,167,1,1,2,AdjLand,No,Commercial,AllPub,Gravel,RH,3,2,2,2,257920,82534,10316800,2007,1999,8
Chrompet,904,98,1,1,3,Family,No,Others,NoSeWa,Gravel,RH,2,3,3,3,195796,31327,7831830,2008,1975,33
Chrompet,802,107,1,1,3,AdjLand,Yes,Commercial,NoSeWa,Gravel,RM,2,2,2,2,415077,207538,12971150,2009,2000,9
Karapakkam,1445,111,2,2,4,Family,No,Commercial,NoSeWa,No Access,C,4,4,2,3,307423,219588,8783500,2011,1973,38
Velachery,1623,91,2,1,4,AdjLand,No,Others,AllPub,Paved,RL,4,3,2,3,372476,206931,10346560,2011,2003,8
Anna Nagar,1978,193,2,1,5,Normal Sale,Yes,House,NoSeWa,Paved,RL,2,4,2,3,401121,96822,13831750,2009,1979,30
Karapakkam,1546,105,2,2,4,Ab Normal,No,Others,NoSeWa,Gravel,RH,3,4,5,4,375323,158470,8340500,2012,1967,45
KK Nagar,1896,182,3,2,5,Partial,No,Others,NoSeWa,Paved,RL,3,3,4,3,460302,230151,10461400,2011,1997,14
KK Nagar,1673,47,2,1,4,AdjLand,Yes,Commercial,NoSeWa,Gravel,RM,2,4,3,3,797727,341883,16280140,2009,1992,17
KK Nagar,2334,153,4,2,6,Family,No,Commercial,AllPub,Paved,RH,3,3,3,3,836283,313606,17422560,2009,2001,8
Chrompet,1114,106,1,1,3,Partial,No,House,AllPub,Gravel,RM,2,3,4,3,304085,101362,9214700,2014,1976,38
Chrompet,776,97,1,1,2,Normal Sale,Yes,House,AllPub,Paved,RL,3,2,4,3,263602,24713,8237550,2012,2003,9
Karapakkam,1675,185,2,2,4,AdjLand,Yes,Others,AllPub,Paved,RL,4,3,3,3,359481,174294,10893375,2010,2005,5
T Nagar,1590,39,1,1,4,Ab Normal,Yes,Commercial,AllPub,Gravel,RM,4,4,2,3,765428,161143,20142850,2010,1975,35
T Nagar,1639,76,1,1,4,Partial,No,Commercial,NoSeWa,Gravel,RM,4,4,4,4,591142,374390,19704720,2014,2008,6
Velachery,1712,182,2,1,4,Ab Normal,Yes,House,NoSeWa,No Access,I,3,3,4,3,309236,65102,8137800,2006,1961,45
Adyar,1118,145,1,1,3,Normal Sale,Yes,House,NoSeWa,No Access,RH,2,3,3,3,275585,33404,8351070,2012,1974,38
Adyar,792,93,1,1,2,Partial,No,Commercial,AllPub,Paved,I,4,2,2,3,361842,123788,9522150,2007,1997,10
Adyar,1190,37,1,1,3,Normal Sale,Yes,House,NoSeWa,No Access,RL,2,2,4,3,317885,48164,9632875,2007,1982,25
Chrompet,1243,77,2,1,4,AdjLand,No,House,NoSeWa,Paved,RL,3,4,2,3,284081,142040,9469350,2012,1991,21
Anna Nagar,1657,105,1,1,4,Normal Sale,No,House,AllPub,Gravel,RL,3,3,4,3,472532,157511,12116210,2014,1996,18
Chrompet,1008,84,1,1,3,Partial,No,Others,NoSeWa,Gravel,RM,2,4,4,3,233124,139874,9324960,2012,1980,32
Velachery,1658,19,2,1,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,I,3,4,4,3,563446,183120,14086140,2007,1985,22
KK Nagar,1381,127,2,1,4,Partial,No,Commercial,NoSeWa,Gravel,RM,3,3,3,3,625417,119761,13306740,2009,2002,7
Karapakkam,929,14,1,1,3,Ab Normal,No,Commercial,AllPub,Paved,I,3,4,3,3,361841,169373,7698750,2012,2003,9
Chrompet,1166,31,1,1,3,Normal Sale,No,Others,NoSeWa,Gravel,RL,2,2,5,3,262422,171584,10093170,2014,2009,5
Chrompet,1239,75,2,1,4,AdjLand,No,Others,NoSeWa,Gravel,RH,2,4,4,3,255297,127649,9819130,2007,1977,30
Chrompet,1231,120,2,1,4,Partial,No,Others,AllPub,Gravel,RH,5,3,3,3,239824,163080,9592970,2011,1989,22
Anna Nagar,1973,49,2,1,5,Partial,No,House,AllPub,No Access,RM,2,3,2,2,475737,73190,12198380,2014,1975,39
KK Nagar,2244,98,4,2,6,AdjLand,No,Others,NoSeWa,Paved,RL,4,3,4,3,593093,160629,12356100,2009,1988,21
Karapakkam,1577,113,2,2,4,Family,Yes,Others,NoSeWa,No Access,A,3,2,4,3,287557,106998,6687375,2009,1991,18
T Nagar,1854,5,2,1,5,Partial,Yes,Others,NoSeWa,No Access,RH,3,3,2,3,433973,242514,12763900,2010,1971,39
Chrompet,1109,60,1,1,3,AdjLand,No,Others,AllPub,Paved,RM,3,2,3,3,302356,171335,10078530,2009,1997,12
KK Nagar,1801,115,3,2,5,AdjLand,No,House,AllPub,Gravel,RH,5,3,3,3,331070,165535,10345940,2010,2003,7
Chrompet,1257,35,2,1,4,Partial,No,Commercial,NoSeWa,Gravel,RL,2,4,2,3,426985,179058,13773700,2012,1974,38
Karapakkam,531,41,1,1,2,Partial,No,Others,AllPub,No Access,RH,4,2,3,3,154452,41438,3767125,2010,1976,34
Karapakkam,1380,185,2,2,4,Ab Normal,No,House,NoSeWa,Gravel,RM,2,2,5,3,396739,198369,8624750,2010,1981,29
KK Nagar,1758,14,2,1,4,Family,No,House,NoSeWa,Paved,RH,3,4,2,3,292072,185864,8850660,2008,1995,13
Anna Nagar,1777,192,1,1,4,Ab Normal,Yes,House,AllPub,Paved,RM,2,3,4,3,569512,113902,14237800,2012,2007,5
Anna Nagar,1943,108,2,1,5,Normal Sale,No,Others,NoSeWa,Paved,RL,3,3,2,2,380125,267495,14078710,2011,1986,25
Velachery,1964,128,3,2,5,Normal Sale,Yes,Others,NoSeWa,No Access,I,5,3,4,4,417532,139177,10705950,2010,2005,5
Anna Nagar,1777,139,1,1,4,AdjLand,Yes,Others,AllPub,Gravel,RH,2,4,3,3,452446,268640,14138950,2009,1977,32
Anna Nagar,1751,99,1,1,4,Family,No,House,AllPub,No Access,RH,4,2,4,4,401345,116179,10561720,2011,1990,21
KK Nagar,1573,76,2,1,4,Family,No,House,NoSeWa,Paved,RM,3,3,2,2,373472,186736,9336800,2008,1988,20
KK Nagar,1438,27,2,1,4,Family,Yes,Commercial,NoSeWa,Gravel,RL,3,3,4,4,495012,261256,13750340,2010,1983,27
Adyar,925,19,1,1,3,Partial,No,Others,NoSeWa,Paved,RH,3,2,3,3,292021,82365,7487725,2010,1975,35
Chrompet,1280,78,2,1,4,Family,No,Others,AllPub,Paved,RM,2,3,2,2,278205,171203,10700200,2013,1997,16
Adyar,947,151,1,1,3,AdjLand,Yes,House,AllPub,No Access,RL,2,4,2,2,321531,8931,8931410,2008,1994,14
T Nagar,1981,162,2,1,5,AdjLand,No,Others,AllPub,Paved,RH,3,3,2,2,543029,139238,13923830,2014,1974,40
KK Nagar,1554,169,2,1,4,Family,No,House,NoSeWa,Gravel,RL,4,4,4,4,377780,217224,9444500,2010,1995,15
Velachery,1762,196,2,1,4,Normal Sale,Yes,Others,NoSeWa,Paved,A,4,3,4,4,302593,142396,8899780,2011,1972,39
Anna Nagar,1835,52,2,1,5,Normal Sale,No,House,NoSeWa,No Access,RM,2,4,3,3,453793,113448,12605360,2006,1988,18
KK Nagar,1351,41,2,1,4,AdjLand,Yes,Others,NoSeWa,Gravel,RH,3,4,4,3,475908,128892,9914760,2011,1984,27
Chrompet,750,33,1,1,2,Normal Sale,No,Others,NoSeWa,Gravel,RL,4,2,3,3,198869,111367,7954750,2011,1988,23
Velachery,1598,7,2,1,4,Ab Normal,No,Commercial,AllPub,Gravel,RH,3,2,4,2,405712,183225,13087480,2010,1961,49
Velachery,1856,52,3,2,5,Partial,Yes,Others,NoSeWa,Gravel,A,3,3,2,3,348925,188608,9430410,2004,1966,38
Velachery,1584,11,2,1,4,AdjLand,No,House,NoSeWa,No Access,RL,2,2,3,2,261860,90014,8183130,2010,1961,49
Adyar,852,68,1,1,3,Partial,No,Commercial,AllPub,Paved,A,3,4,2,3,317515,41778,8355660,2012,1988,24
Karapakkam,1650,14,2,2,4,Family,Yes,Commercial,NoSeWa,Paved,A,3,5,3,3,411626,84436,10554500,2010,1964,46
Karapakkam,1606,40,2,2,4,Partial,No,House,NoSeWa,Gravel,I,2,2,3,2,370293,113355,7557000,2012,2000,12
Adyar,1152,80,1,1,3,Ab Normal,Yes,House,AllPub,Paved,RL,3,3,3,3,370321,60052,10008685,2008,1969,39
KK Nagar,1763,79,2,1,4,Ab Normal,Yes,Others,NoSeWa,Gravel,RM,4,2,2,3,499472,304556,12182240,2011,1992,19
Anna Nagar,1969,76,2,1,5,Normal Sale,Yes,Commercial,NoSeWa,Paved,RM,4,4,2,3,893744,183332,22916500,2013,1993,20
Adyar,994,185,1,1,3,Partial,Yes,Others,NoSeWa,No Access,C,4,2,2,3,266604,14411,7205505,2009,1982,27
T Nagar,1566,68,1,1,4,Partial,No,Others,NoSeWa,Paved,RH,3,4,3,3,347987,145930,11225380,2014,1989,25
Chrompet,914,52,1,1,3,AdjLand,Yes,Commercial,AllPub,No Access,RL,3,2,3,3,384331,132114,12010350,2013,2004,9
Anna Nagar,1757,19,1,1,4,Normal Sale,No,House,AllPub,No Access,RM,4,4,2,3,449901,94716,11839510,2010,1982,28
Adyar,1241,62,2,2,4,AdjLand,No,Others,NoSeWa,Paved,RL,4,3,3,3,422756,95120,10568895,2010,1977,33
Velachery,1926,150,3,2,5,Partial,No,Commercial,NoSeWa,No Access,RL,3,2,4,3,518512,133332,14814620,2004,1968,36
Velachery,1531,67,2,1,4,Ab Normal,No,House,NoSeWa,Paved,A,2,4,4,4,202360,134907,6745340,2007,1995,12
Adyar,928,126,1,1,3,Ab Normal,No,Commercial,AllPub,No Access,RH,4,3,4,4,360254,158936,10595700,2009,1969,40
Velachery,1716,113,2,1,4,Family,No,House,NoSeWa,Paved,I,4,3,2,3,264437,62220,7777550,2008,1963,45
Velachery,1637,192,2,1,4,Ab Normal,Yes,Others,AllPub,Paved,A,3,4,4,4,279459,162266,9014800,2010,1995,15
Chrompet,1286,103,2,1,4,Normal Sale,Yes,Others,AllPub,No Access,RL,2,4,3,3,320275,96082,10675820,2014,1998,16
Karapakkam,1694,61,2,2,4,Ab Normal,No,Commercial,AllPub,Paved,I,3,2,3,3,342165,250921,11405500,2011,1993,18
Chrompet,770,25,1,1,2,Ab Normal,No,Commercial,NoSeWa,Gravel,RH,4,3,3,3,325933,98768,9876750,2011,1990,21
Velachery,1677,199,2,1,4,AdjLand,Yes,House,NoSeWa,Gravel,A,4,3,4,3,336650,132888,8859220,2005,1984,21
Adyar,790,200,1,1,2,Normal Sale,No,Commercial,NoSeWa,Gravel,I,2,4,2,2,341531,107338,9758035,2007,1978,29
Chrompet,1115,144,1,1,3,Family,Yes,House,AllPub,Paved,RL,2,3,4,3,225140,108067,9005600,2011,1975,36
KK Nagar,1723,86,2,1,4,Family,No,House,AllPub,Paved,RL,2,2,2,2,283987,100769,9160860,2009,1986,23
Karapakkam,1013,164,1,1,3,AdjLand,No,Commercial,NoSeWa,No Access,RM,4,2,5,4,380440,133154,9511000,2011,1983,28
Karapakkam,1143,29,1,1,3,Partial,No,Others,NoSeWa,No Access,RL,2,2,2,2,273568,65418,5947125,2012,1964,48
KK Nagar,1676,172,2,1,4,Partial,Yes,Commercial,NoSeWa,Paved,RM,3,3,2,2,503078,121958,15244800,2010,2000,10
Adyar,960,166,1,1,3,Family,Yes,Others,AllPub,Paved,I,3,4,5,4,252843,50569,8428090,2008,1982,26
T Nagar,1849,150,2,1,5,Partial,No,House,NoSeWa,Gravel,RM,2,3,3,3,482165,241082,13393470,2013,1992,21
Karapakkam,850,99,1,1,2,Partial,No,House,NoSeWa,Gravel,A,4,4,2,3,189851,58118,3874500,2011,1981,30
Chrompet,935,192,1,1,3,Partial,Yes,Commercial,NoSeWa,No Access,RL,4,3,2,3,380474,80707,11529500,2012,1990,22
Karapakkam,1247,185,1,1,3,Ab Normal,Yes,Commercial,AllPub,Gravel,I,3,2,4,3,365772,150612,10758000,2009,1981,28
Karapakkam,1420,30,2,2,4,Ab Normal,No,Others,NoSeWa,Gravel,RL,5,3,2,3,399608,217968,9082000,2011,2005,6
Chrompet,989,1,1,1,3,AdjLand,No,House,AllPub,Gravel,RL,2,3,4,3,232898,111791,9315900,2008,2002,6
Chrompet,1227,143,2,1,4,Normal Sale,Yes,House,NoSeWa,No Access,RH,3,2,4,3,238831,132684,8845600,2012,1996,16
Velachery,1626,102,2,1,4,Normal Sale,No,House,AllPub,Paved,I,2,2,3,2,239494,79831,7257400,2007,1957,50
Chrompet,787,162,1,1,2,Partial,Yes,Commercial,NoSeWa,No Access,RM,3,4,4,4,311799,182779,10751700,2006,1976,30
Velachery,1576,46,2,1,4,Ab Normal,Yes,House,NoSeWa,No Access,RH,2,2,4,2,316988,171345,8567240,2011,1979,32
Karapakkam,594,195,1,1,2,Family,No,House,AllPub,No Access,RM,3,3,4,4,201723,69011,5308500,2011,1969,42
